,Airline,Overall Rating,Reviews,Boarding,Comfort,Crew,Entertainment,Food
114,Transavia,6.5 Good,94,6.8,6.4,7.5,5.5,5.9
115,Hong Kong Airlines,6.7 Good,257,7.0,6.8,7.4,6.6,6.1
116,JetSMART,Based on 56 reviews,52,5.0,6.0,3.7,3.7,
117,Air Astana,6.9 Good,30,6.6,7.4,7.6,5.6,7.4
118,Air Macau,6.8 Good,9,7.3,7.1,8.4,5.5,6.5
119,Virgin Australia,7.0 Good,442,7.4,7.1,8.1,6.4,6.2
120,Cebu Pacific,6.0 Good,143,6.2,6.0,7.0,4.6,5.2
121,Wizz Air Malta,Based on 58 reviews,54,5.8,6.4,4.6,5.1,
122,Cemair,Based on 4 reviews,60,6.0,8.0,2.5,4.0,
123,Oman Air,7.3 Good,68,7.7,7.3,7.7,7.1,7.0
124,AirAsia X,Based on 41 reviews,66,5.7,7.2,4.0,4.6,
125,Fiji Airways,7.2 Good,151,7.3,7.3,8.0,6.6,6.9
126,Allegiant Air,6.7 Good,597,7.2,6.3,7.8,5.0,5.4
